,3-19-35-40,17-15-8-35,17-28-12,28-17-29-35,17-28-1-29,28-29-7-40,40-35-2-4-7,3-35-14-17,31-28-26-7-2,2-5-7-4-34,10-5-34-16,10-5-28-35,15-2-25-19,10-30-35-28,35-10-19-3,35-15-1-28-7,19-30-36-31,10-40-30-36,28-31-40-35,35-1-30-39,2-40-6-31-36,1-35-32-38,1-2-28-3-35,5-35-31-24,10-19-28-20,19-6-3-10-2,10-24-11-35,35-2-25-13,2-30-39-25,2-35-10-39,29-28-15-2,10-15-13-5,2-15-3-11-25,3-17-1-35-27,2-28-17-27,2-5-6-23-24,26-10-17-13,3-1-31-14-40,5-24-27-21,1-5-36-25-16,28-5-26-35,35-26-2-10,35-24-10-28,26-35-40-30,10-12-2-19,26-28-32-5,28-26-35-10
35-1-8-31-30,35-17-12-1,17-30-15-26,17-4-26-28,13-29-17-31,31-6-26-24,30-35-31-6-3,24-15-31-16,15-2-24-30,30-31-35-3,2-19-7-16-37,28-29-35-13,15-13-16-2,10-14-35-24,35-15-17-14,29-13-19-35,35-16-1-19-3,19-1-24-35,15-29-13-28,35-40-3-17,35-40-4-14,35-5-19-36,1-35-32-19,19-3-13-25,13-10-3-15,28-15-29-35,15-19-3-1-18,7-3-10-26-37,31-9-30-14,1-19-21-10,24-25-4-30,,1-5-3-28-2,15-24-3-4-28,35-40-24-30,1-7-4-3-28-2,28-24-18-10,3-16-13-30,29-28-3-32-3,35-24-31-3,10-13-29-31,40-35-29-16,6-10-28-29,1-15-25-2,6-28-29-31,28-25-37-19,25-28-32-40,1-10-35-4
1-8-15-28-26,1-28-15-26,24-4-28-17,24-28-17-4-3,28-17-13-1-4,28-13-17-1-4,2-24-28-3,2-26-24-28,13-28-7-24,28-31-2-13,10-24-3-2-37,2-10-7-5-40,2-10-7-5-40-3,1-2-10-6-5-4,6-24-29-12,29-28-12-3,2-24-25-19,6-29-25-28,24-40-3-12-9,2-35-29-30,35-24-33-27,21-39-35-9,25-28-2-6-13,12-3-19-37,13-3-17-22,2-10-13-25,2-13-9-12-5,5-2-7-24-13,2-10-24-37,24-35-12-1,3-11-32-33,28-10-24-6,,10-25-2-22,9-35-24-10,28-10-17-13,24-10-28-25,17-35-9-3-31,28-7-13-17,1-4-35-12-24,2-16-17-30,2-10-9-35-13,10-17-16-13,3-17-14-10,28-24-13-12,10-2-25-5,25-10-37-17,25-37-17-4
28-35-25-15,28-35-25-26,17-13-1-12-3,17-1-13-4,28-26-13-17,28-26-17-1-4,1-15-35-7,28-31-2-4-19,28-7-2-3-35,35-1-13-17,1-7-2-10-4,19-25-3-35-5,1-16-25-3-5,13-25-5-2-24,28-13-24-31,24-1-13-28,24-28-12-3-1,10-28-35-2,12-23-4-29-2,19-3-12-16,25-1-30-24,31-13-24-26,19-13-24-1,25-10-2-37,24-2-3-4-34,23-10-4-32,19-25-13-3-2,10-37-1-24,2-3-31-9-35,25-19-2-1-20,35-31-24-4,10-25-1-26-5,25-1-24-6,,40-35-2-17,1-17-13-24,3-28-5-23-24,2-25-28-4-5,28-29-22-32,35-2-25-11,29-36-24-5,15-29-35-2-1,10-1-12-3,1-5-28-15-25,28-29-5-12,1-25-37-5-3,28-5-32-16,25-13-1-32-2
40-5-3-12-8,3-35-14-28,14-17-15-4,28-24-3-35-7,17-14-15-10,35-3-14-4-5,14-7-15-24,5-35-3-17-14,35-1-40-4,3-28-40-31,10-24-32-3,35-3-2-40-25,35-3-12-25,35-28-24-4-5,8-28-3-4-1-17,35-19-3-14-1,35-19-3-1-13,35-1-4-10-40,35-10-19-24,35-40-3-4-12,40-35-3-1-39,3-35-15-10,35-37-24-13,15-3-19-35,35-15-10-12,10-3-25-5-4,10-19-35-23,10-25-28-32,35-13-25-4-9,3-24-13-35,2-26-35-40,35-28-13-12,1-25-10-3-5,28-1-40-29,,1-11-15-27,10-13-2-24-4,28-35-2-11,3-14-31-29,40-2-5-12-33,28-10-35-4,1-3-13-10-4,35-10-1-13,35-1-10-28,5-35-13-33,1-19-25-37,28-40-25-32,3-10-37-32
8-35-13-17,35-17-13-28,17-1-28-29,17-3-1-18-13,13-15-17-1,13-17-1-25,15-35-30-2,1-13-25-2,4-7-13-15-17,3-25-1-35-10,24-9-2-37,28-34-35-3,3-35-1-11-4,34-9-5-15-3,1-10-7-15-13,28-1-15-13,28-13-3-1-16,15-10-2-13-1,1-3-13-25-31,1-4-17-9-24,2-35-7-19-24,24-13-4-37,15-13-32-1-3,2-17-27-19,2-35-34-4,5-10-24-25,19-15-13-1,3-9-13-26-1,14-17-31-3-5,2-10-1-13-3,35-15-39-12,1-7-15-16-4,2-10-13-4,1-15-26-25,35-10-5-7-11,,1-28-3-10-4,4-10-2-22-13,17-7-13-30,10-3-40-16,10-7-35-32,10-35-2-1-25,10-13-34-7,2-10-1-32-25,35-30-28-17,2-35-4-10-1,25-10-3-32,37-10-13-25
28-30-3-22,3-31-35-28,17-13-28-4,17-28-14-29,17-28-1-4-13,17-7-28-39,13-28-30-1,13-28-15-39,3-2-17-13-24,13-28-35-27,3-28-32-24,13-14-10-37,35-10-37-17,28-37-4-17-3,2-3-17-14-13,32-12-13-25,32-12-4-9-13,12-13-9-35,37-17-4-3-9,28-2-13-17,13-12-5-24-3,1-31-37-19,28-37-26-32,2-1-17-3-10,35-31-5-7-24,26-28-25-2-9,26-32-13-25,2-37-4-16-13,37-4-2-13-35,2-1-10-35-19,3-5-27-25-21,1-28-24-32,15-17-24-4-6,25-10-13-3,35-37-13-4-2,13-4-3-2-27,,15-23-1-31,7-28-3-1-24,2-10-40-35,10-1-12-13,16-10-24-3-4,2-10-17-12,28-17-10-4-2,2-6-4-17-13,25-37-9-26-4,37-17-4-28,37-4-26-3
8-31-30-13,31-30-13-12,3-17-14-4-2,3-17-2-31-14,17-15-13-4,17-14-13-4-2,13-31-15-17,13-35-31-17,4-13-7-14-15,35-31-13-9-5,10-25-3-2-5,10-13-5-15,19-10-13-5,14-31-13-3,17-13-19-3,35-12-19-1,39-35-24-12,1-19-34-11,35-40-3-9-31,35-31-40-3-9,35-5-40-31,31-35-36-3,28-19-24-2,12-13-1-7-31,34-12-13-3,10-5-13-12,19-13-12-35,3-24-28-5-7,28-19-24-39,1-35-24-39,35-31-1-33,30-13-15-28,24-28-2-13-6,2-4-26-19-13,28-35-25-36,17-1-28-13,2-13-7-22-17,,2-7-30-19-3,31-33-9-4-16,30-31-10-3,10-3-25-16,10-3-25-13,10-13-1-15-8,5-31-10-27,25-7-10-1,28-32-37-17,28-37-3-7-25
30-40-3-35,35-40-3-8-17,17-14-3-32-1,17-14-15-3,14-17-4-15-7,14-17-1-4-3,14-15-7-28,28-14-3-32-7,15-2-32-31,30-31-40-3,7-24-17-10,3-2-6-32-11,2-28-6-32-15,15-3-14-19,3-28-7-31-4,15-3-19-28,3-28-19-14,15-4-14-32,40-9-17-7-5,9-17-40-2,3-40-10-35,35-31-3-15-2,32-3-35-19,2-13-28-5,28-17-3-4-1,7-10-6-2-9-12,28-3-15-31,3-7-32-10-4,3-14-35-31,4-28-15-29,35-2-13-29,28-7-15-29,28-5-17-3,28-6-7-17-3,2-28-35-3-4,3-7-13-17-28,28-7-24-9,2-28-31-40,,2-12-5-19-40,16-10-2-6-22,3-22-10-24,10-29-28-1,28-10-35-1-2,28-2-13-24,7-13-2-32-19,32-26-31-28,26-10-32-37
35-31-8-21-3,35-2-31-13,1-17-4-24-13,35-17-18-1,1-28-4-3-33,17-2-35-14,3-24-15-37,5-17-39-19,30-24-32-1,31-30-35-28,2-26-3-40-25,15-28-35-24,35-5-40-3-1,24-35-28-21,3-13-35-18,6-24-1-26-15,1-35-24-6,19-2-31-10,1-35-40-2,35-1-40-17,35-24-4-40,35-31-33-17,35-1-13-32,2-3-35-28-10,40-3-4-24-12,18-3-24-23,35-24-21-2,32-10-25-2-7,31-1-17-14,24-35-18-1,35-3-13-24,35-15-31-30,17-24-2-5-7,25-28-3-15,35-4-24-17,10-3-14-25,3-24-7-14-2-5,3-15-19-32,30-24-32-17,,35-24-1-40-3,28-1-10-18,10-3-34-4,35-24-13-3-2,4-40-2-5-17,1-25-37-24,5-1-17-18-32,5-37-18-32
28-1-8-15-5-3,1-13-14-8,14-13-1-17,13-17-14-15,13-1-26-17,1-3-16-26-13,13-1-7-30-3,1-35-15-38,29-13-1-16,35-16-1-31,6-2-10-7-15,10-1-37-4,10-1-16-35,35-13-1-28-2,35-12-28-29,28-1-10-26,28-1-10-26,28-12-24-19,35-10-1-19,3-35-1-24-33,1-11-3-13-39,10-24-35-18,32-24-1-35,1-10-15-16,19-34-33-9,3-4-35-15-20,19-35-2-13,25-24-16-10,24-9-2-39-13,35-10-5-36,35-10-5-21,1-3-25-13-15,28-3-6-2-13,2-5-28-13-16,2-3-35-9-28,1-35-13-23,1-24-10-13,6-35-28-9-1,30-24-16-32,35-39-2-29,,3-16-25-12,1-10-28-8,1-13-15-14,27-26-1-5-10,25-3-19-13,6-28-1-13-11,35-12-1-6-28
13-8-18-28,35-28-9-17,3-17-28-10,17-1-10-32,29-28-37-32,29-18-36-37,28-37-1-25,35-28-25-10,30-13-10-32,30-25-32-9,37-3-4-32-13,5-40-16-3,5-4-17-18-3,10-32-28-3,12-19-28-29,2-26-32-3,2-26-21-13,2-32-21-16,35-3-12-13,3-17-7-35-29,24-35-33-18,26-3-24-19,32-19-3-2-5,3-10-14-40,10-31-35-24,28-15-5-18,2-16-13-32,13-10-2-34-7,2-13-7-37-35,3-10-40-24,10-17-35-4,35-7-13-1-4,13-4-9-28-15,19-3-1-32-35,28-25-13-1-5,3-10-1-25-30,2-10-24-3,4-3-31-35-30,2-3-17-32-7,10-28-9-23-2,25-13-24-15,,25-15-24-13,2-10-39-18,2-16-18-26,28-25-37-10,28-26-32-18,28-32-18-9-3
28-13-12-35,28-12-35-10,17-28-13-12,17-28-13-4,13-17-14-12,13-26-17-4,26-13-35-16,26-13-35-31,13-24-10-15,26-31-35-13,37-4-5-24-10,19-9-16-6,25-10-16-2,10-28-25-19,12-35-8-4-13,1-13-30-2,1-2-35-13-38,2-12-26-28,35-1-12-13,13-35-9-1-17,1-13-3-39-18,2-19-26-35,19-13-32-2,17-3-2-28-19,10-4-24-5,15-28-35-24,28-21-3-13,5-3-28-33-35,31-14-9-12,1-24-23-35,24-2-11-3,28-1-29-10,6-13-2-3-17,5-25-21-10,12-28-23-7,13-35-4-2-28,25-13-28-2,31-30-16-39,3-16-22-35,2-25-1-23-33,1-13-12-26,25-28-26-3,,12-26-2-5-35,15-24-28-10,28-3-4-17-37,25-17-1-27,13-24-28-25
35-24-8-13-2,35-13-28-1-8,17-4-18-35,14-7-17-19,35-1-10-31,10-7-35-17,3-12-10-2-6,35-10-1-2-13,13-1-17-36,35-3-2-25-9,2-24-25-7,10-3-5-18-2,1-35-18-9-3,35-3-24-5-4,10-15-12-22,19-5-35-38,1-19-3-5-35,10-35-28-38,3-14-9-37-1,3-35-5-10-40,24-35-3-4-39,35-28-21-36,1-24-19-31,2-13-10-3,35-12-2-34,10-3-6-24-34,28-35-15-14,10-2-3-24-25,9-14-1-2-31-4,35-25-13-2,24-39-13-35,28-15-29-35,10-2-13-28,28-7-26-24,3-1-35-10-14,1-25-9-2-13,10-24-1-28-7,10-39-1-18,2-13-22-1,35-13-24-33,1-10-24-35,3-32-26-18,10-5-12-26,,6-12-10-1,25-1-19-7,4-32-37-25,1-28-19-37
35-40-30-9-5,35-2-9-5-26,1-19-26-13,9-26-28-13,14-1-28-13,19-6-17-2,35-26-34-30,2-13-35-1,29-13-2-28,2-10-13-3,25-7-24-13,10-28-15-4,35-10-13-6-4,28-10-13-34,3-9-29-17-26,28-5-2-29-35,28-10-5-13,19-28-2-30,19-35-4-9-2,40-28-13-2-9,24-2-9-25-5,24-13-36-2,35-24-13-17,10-28-2-13-9,35-28-10-13,3-25-6-29-24,35-28-13-10,25-7-6-24-19,24-9-2-13-3-6,5-24-15-2,1-12-19-35,29-28-1-24,6-28-13-35,26-24-6-25-9,35-1-13-40,3-13-28-1,28-5-24-10,24-10-26-35,5-32-35-22,40-19-15-39,3-13-1-28-26,2-24-13-3,28-3-1-24-10,26-12-29-8,,3-37-25-26,28-10-32-37,28-26-10-2
10-1-6-20-31,10-1-13-6,35-17-14-10,28-10-25-20,10-13-37-5,10-28-2-13,28-37-10-25,28-1-10-3-5,5-25-28-10,10-25-7-6-35,25-10-37-7-3,3-10-37-2-5,10-25-2-13,25-28-7-10-4,10-35-37-23,35-25-10-7,35-37-1-10-7,24-37-10-5,3-40-10-35,3-10-35-5,25-9-2-13-24,35-19-2-36,25-35-2-13-5,10-2-23-35,35-15-30-13,15-3-13-7-2,35-15-13-3,25-10-7-3-4,10-3-7-15-25,10-15-1-5-13,19-12-16-22,1-7-28-25-26,6-10-13-1,2-10-24-25,23-3-13-1-2,13-25-1-7-10,24-2-13-10,10-25-11-39,7-10-37-5,1-19-27-9,13-2-35-10,25-2-24-13,1-28-25-10,35-1-10-21,28-15-37-7-2,,13-37-10-7-3,10-26-2-37-7
28-26-13-5-3,28-26-1-13-3,26-24-28-5,28-26-10-24,26-28-13-2,26-28-2-17,28-24-18-1,28-26-2-24,13-28-3-1-17,3-28-18-27,19-3-32-7,19-26-2-13-4,26-2-35-25,3-28-1-24-37,28-15-19-37,2-35-38-37,35-19-2-24,19-1-35-24,35-37-24-1,28-3-24-27,28-39-2-10,35-3-28-32,28-26-24-2,35-10-24-13,1-10-24-18,28-9-18-32,35-3-19-15,7-26-35-24,3-25-23-9-4,28-2-25-37,2-10-34-21,1-26-13-15,25-1-13-15,2-5-13-25-15,28-1-40-26,26-2-5-12-10,1-10-3-32-23,24-2-10-26,2-28-26-24,19-28-22-3,5-28-37-11,28-10-25-2-5,10-2-28-25,2-28-10-35,28-37-10-15,28-32-37-3-7,,28-26-32-24
35-26-32-1,26-25-1-35-8,5-26-28-1,26-28-10-24,26-24-5-3-28,26-24-5-28-3,5-24-28-13,28-24-13-3,28-3-10-13,2-13-1-37-6,25-2-7-32-4-3,10-28-6-5-34,10-26-28-24,28-13-24-5,24-28-37-2,24-10-3-28-6,10-24-5-3-28,3-5-10-24-13,24-5-2-13-10,28-24-2-8-10,35-39-2-37,28-24-6-19-2,32-1-35-24,28-10-2-6-7,28-10-13-2,24-28-2-10-6,26-10-24-37,24-7-25-37,9-24-2-37-25,35-2-24-9-7,10-3-24-39,35-2-10-13,2-6-10-15-19,25-13-1-15-6,24-5-23-13,28-24-13-32,13-27-24-2-6,12-24-9-23,28-35-7-31,28-24-26-22,3-25-28-13,28-26-24-23,28-24-26-2,28-26-10-3,3-35-10-27,3-25-10-7,26-28-24-10,
