,3-19-35-40,17-15-8-35,17-28-12,28-17-29-35,17-28-1-29,28-29-7-40,40-35-2-4-7,3-35-14-17,31-28-26-7-2,2-5-7-4-34,10-5-34-16,10-5-28-35,15-2-25-19,10-30-35-28,35-10-19-3,35-15-1-28-7,19-30-36-31,10-40-30-36,28-31-40-35,35-1-30-39,2-40-6-31-36,1-35-32-38,1-2-28-3-35,5-35-31-24,10-19-28-20,19-6-3-10-2,10-24-11-35,35-2-25-13,2-30-39-25,2-35-10-39,29-28-15-2,10-15-13-5,2-15-3-11-25,3-17-1-35-27,2-28-17-27,2-5-6-23-24,26-10-17-13,3-1-31-14-40,5-24-27-21,1-5-36-25-16,28-5-26-35,35-26-2-10,35-24-10-28,26-35-40-30,10-12-2-19,26-28-32-5,28-26-35-10
15-19-5-8-31,35-3-31-34,17-8-19-9,3-17-12-9,17-19-7-8-9,3-17-9-24-12,19-10-30-7,10-30-35-12,17-14-28-10,3-40-17-35,7-2-32-3-24,,10-2-24-20,3-35-5-13-17,19-2-16-13,18-28-35-6,35-6-18-28,19-18-35-10,12-19-40-3,35-3-17-14,35-24-40-13,19-35-13-3,35-19-24-4,13-1-19-12,18-13-14-28,28-3-19-10,10-24-35-23,10-24-25-3-7,17-7-18-9-3,1-4-14-18-3-7,40-3-37-6,7-13-30-35,28-35-24-3-7,10-25-24-12,35-12-13-40,3-10-17-19,28-2-10-26,10-37-3-24,35-2-7-3-24,21-28-15-24,35-4-10-3-2,3-16-40-10,10-30-17-6,10-35-19-3,5-15-10-4-2,5-28-26-20,10-37-4-32,3-17-24-10
35-31-8-19-4,35-6-2-31-19,17-40-19-2,40-35-1-9-17,3-35-18-19,35-17-3-30-7,35-19-18-3,35-40-31-3,17-3-40-14,35-31-3-40,24-7-10-25,35-24-38-4-3,,35-28-29-3-4,17-40-35-9-7,13-25-40-24,35-40-13-2,35-2-13-16,17-4-40-12,35-3-9-17-14,5-35-39-3,19-24-35-40,35-40-24-2,3-19-12-15,35-10-17-4-7,3-24-10-14,10-12-35-40,10-7-2-24-25,31-35-24-14,1-3-14-18-4,35-14-40-3,13-5-4-17-2,10-24-17-28,25-1-3-10-37,35-3-9-40-13,3-10-19-1,28-26-10-2,10-37-24-3,35-2-3-24-30,1-35-33-39,35-10-40-5,40-37-25-3,1-17-13-24,10-40-38-16,5-10-2-25-4,28-37-4-20-5,32-35-25-6-4,10-26-24-37
13-14-8-28-1,1-13-2-10-35,13-17-2-28,17-15-30-2,17-14-4-1-29,14-5-3-17-1-4,28-2-7-34-35,28-5-2-35-7-9,17-7-15-18,2-35-19-5,7-2-10-5,35-40-19-3-5,3-13-35-5-2,,19-13-15-28,35-28-38-19,35-19-28-12,19-35-13-36,28-14-6-40,28-8-3-14-5,28-2-3-5-33,28-36-31-3,19-35-13-10,35-13-10-24,28-35-13-10,13-5-10-3-1,19-1-35-14,10-7-6-24-26,3-14-28-9-5,19-18-1-24-3,35-21-2-24,15-10-28-26,7-19-6-24-3-2,28-37-13-35,35-28-23-24,28-2-34-13,28-24-10-2,31-35-11-13,14-3-32-22,28-35-19-4,35-13-28-1-8,28-10-25-12,10-28-2-13,2-3-28-10-13,5-28-4-10-13,25-10-19-1-4,3-26-24-16,28-25-24-32
8-1-9-13-37,9-13-28-1,17-35-9-3-14,35-28-17-9,15-17-10-14,1-3-17-40-37,12-15-9-35,1-18-37-35,35-10-3-40,14-18-29-28,13-17-37-3-1,19-10-2-12,2-10-13-3,13-15-9-28,,19-17-35-10,1-35-10-19,19-35-37-17,21-18-9-40,35-14-9-3-17,35-10-24-21,35-36-21-10,13-2-19-35,19-35-6-13,3-35-40-12,10-3-23-27,19-15-2-5-14,37-32-7-24-1,13-9-24-12,15-2-35-5,3-13-24-14,15-17-3-19,28-5-6-25-24,1-28-25-4-3,14-35-1-13,15-17-1-13-2,10-28-3-13,2-12-31-39,14-3-7-12-35,10-35-40-22,15-18-35-6,28-29-5-37,2-10-35-13,35-28-3-10,5-10-35-4,37-10-28-25,37-10-19-3,24-37-32-3
28-35-19-12,28-35-5-12,28-12-15-35,35-2-19-15,15-19-4-3-25,35-2-17-14,13-35-18-29,3-25-34-38,29-2-3-12-19,35-2-34-19,7-2-25-24,18-28-35-6,28-2-35-13,35-28-13-19,21-2-19-35,,15-28-13-2,19-6-34-37,14-25-15-17,19-35-5-9-29,13-19-24-17,24-19-36-2-3,35-19-24-5,2-13-28-12,28-35-5-3-18,10-18-28-5,19-15-12-28,13-24-7-22,17-14-4-7-5,1-24-19-21,35-2-11-16,24-15-13-29,10-24-28-1,28-3-35-1,13-21-10-35,1-17-28-10,10-28-5-24,12-39-35-31,17-7-4-3-32,2-10-3-22-37,28-5-30-10,10-25-12-24,2-10-13-5,35-28-24-25,5-2-28-27-12,3-5-25-10-37,10-37-3-25,37-3-5-28-8
35-28-13-8-3,19-13-35-9,17-4-12-3,4-17-9-19-3,3-4-13-5-12,4-17-3-14-16,2-35-13-19,35-39-19-2,7-35-24-30,35-31-3-24,2-19-17-20,40-35-3-19-4,40-35-3-17,1-3-28-19-13,9-36-37-35,2-19-3-13-5,,2-5-19-13-35,17-9-4-19-35,35-40-14-3-2,35-4-24-40,3-2-35-19-21,19-35-2-32-5,2-19-15-13,31-28-18-12,4-10-40-7-9,35-31-1-4-24,2-10-7-13-3,31-14-25-17,21-35-24-3-1,19-3-15-18,35-15-13-17,24-3-35-12,13-15-24-10,35-10-13-25,35-17-1-27-3,28-10-23-2,24-3-16-30,17-4-3-7-32,2-9-3-37-19,4-8-1-10-2,37-10-3-2-13,10-2-8-34-35,1-10-6-35-34,35-28-4-3-13,2-25-18-10,28-19-35-25,28-37-4-18
8-38-2-25-31,19-2-35-31,1-17-35-10,17-14-1-35-4,19-38-35-2,17-19-38-13,19-38-2-35,19-35-25-36,29-14-15-1,35-19-38-4-3,10-28-19-12,19-35-10-38,38-35-10-4,15-2-19-35,2-19-15-35,19-6-37-36,19-15-3-2-6,,35-10-3-30,28-40-31-10,35-31-1-15,19-5-3-2-36,19-35-25-28,2-28-14-15,30-1-28-29,10-15-35-6,15-35-1-38,10-19-24-28,24-28-13-3,1-3-35-15-19,1-18-2-35-28,15-28-19-35,24-28-15-13,26-10-35-25,35-2-3-24-28,10-2-35-1,10-28-1-23-5,35-19-11-25,28-15-14-22,39-2-19-31,10-28-26-21,2-3-10-14-32,28-2-13-24,28-1-35-14,35-30-19-20,2-25-15-26,28-35-19-3,2-37-15-25
40-35-31-10,35-10-13-31,35-9-40-17,3-14-17-35,10-35-40-14,40-14-35-10,35-10-40-3,35-17-4-40-3,35-4-40-3,35-10-25-31,28-2-26-7,19-3-35-4,3-14-35-9-2,35-17-24-13,35-17-14-9,10-17-14-24,17-14-10-35,35-29-10-17,,3-17-40-9,35-5-40-2,35-3-19-2,24-12-22-35,2-40-13-17,10-25-3-4-17,1-4-37-13-10,3-25-2-35-12,37-28-2-7-24,31-35-40-14,35-24-2-1-21,2-33-25-35,15-35-17-13,25-10-6-28-4,17-3-19-28,40-13-35-19,2-17-10-25,2-28-24-10,31-40-35-4,17-7-4-40-3,3-12-4-25-33,2-1-35-17-16,3-25-2-35-12,10-35-25-12,10-40-25-24,17-5-2-24-35,28-32-4-37-6,37-17-4-32-2,37-25-17-28
40-31-17-8-1,40-31-2-1-17,17-35-40-1-4,17-35-9-37,14-17-3-7-19,14-17-9-40-3,4-7-17-14-35,14-9-17-4,40-4-9-35-7,30-17-31-9,17-2-32-3,35-40-3-26,35-3-5-24-26,14-28-8-13,40-9-35-25,35-17-10-19,35-14-17-4,40-35-3-4-10,35-40-24-3-9,,40-35-13-3,35-40-9-31,35-19-24-28,1-19-17-13,40-31-24-35,19-3-10-5,35-31-40-1,37-32-28-26,17-3-2-5-9-4,2-40-15-19,35-40-3-10,40-35-1-4-17,6-12-28-13,17-35-40-2,40-35-5-17,1-2-35-13-24,13-28-2-22,40-31-3-24-4,7-17-22-3,31-35-40-9,35-10-3-40,3-6-23-2-29,15-2-35-10,15-35-17-10,2-5-15-13-18,15-25-1-3-10,2-40-32-28,3-37-28-25
40-35-31-5-2,40-35-31-17,17-1-35-13,17-4-35-37,31-13-35-17,35-31-4-3-39,24-5-39-35,35-40-24-31,1-4-35-17-7-3,5-24-31-40,2-7-10-35,10-13-5-35-4,10-40-3-39,40-28-25-13,24-21-10-16,13-35-19-18,35-18-9-24,35-31-18-24,40-3-35-31,40-17-9-35,,35-40-3-1-24,35-3-13-32,10-3-12-24,40-2-14-3-7,35-24-10-16,5-24-3-15-4,24-10-32-7,18-31-24-9-7,1-15-24-21,24-35-40-1,40-35-15-30,1-6-13-2-10,24-3-35-4,35-40-24-31,2-10-24-16,2-24-28-17,35-2-10-24,17-4-3-31-22,40-35-31-17,25-35-24-3,3-25-2-12-5,24-1-10-16,5-24-40-3,13-31-2-10,25-10-24-4,7-24-17-35,25-13-37-4
